1564427095,3348,15536,-1220,1582,1469,-1072,0
1564427095,2144,18208,-272,1487,-1725,1342,0
1564427096,3696,15308,-660,-20,732,796,0
1564427096,3244,15612,-868,-308,812,285,0
1564427096,1384,16920,168,1111,-909,727,1
1564427096,4224,15180,-192,-489,698,-31,0
1564427096,3776,15432,-812,-418,79,-590,0
1564427096,3724,15704,-380,367,-1,-557,0
1564427096,3464,15600,-284,2438,-339,-1107,0
1564427096,3360,15584,-832,-72,264,-376,0
1564427096,3864,15472,-856,-618,794,-236,0
1564427096,3172,15600,-1004,-668,1019,-638,0
1564427096,3384,15636,-180,-203,382,-541,1
1564427096,216,17052,-756,512,-305,409,0
1564427096,4356,15204,-724,-627,750,-740,0
1564427096,3100,16320,-884,296,-286,-117,0
1564427096,2944,15544,-576,821,-381,-413,0
1564427097,3300,15476,-52,1220,-488,573,0
1564427097,4268,15556,-1012,1682,-964,-265,0
1564427097,2512,16164,-1304,71,-232,-386,0
1564427097,2856,15068,-572,-230,588,-364,0
1564427097,4136,15648,-756,1366,-1802,-287,1
1564427097,396,14080,3556,-399,-445,-596,0
1564427097,6404,15828,-2616,-989,2130,-544,0
1564427097,3676,16320,-1104,824,-556,1091,1
1564427097,2812,16160,-696,500,-426,-113,0
1564427097,4096,15612,-448,-455,141,296,0
1564427097,2420,15360,900,462,106,-337,0
1564427097,2800,15824,-252,-172,233,-14,0
1564427097,2984,16000,-640,1004,-45,-85,0
1564427097,4052,19992,-1016,534,1247,1445,0
1564427097,1148,16196,96,333,-342,-144,0
1564427097,4476,15860,-388,-320,-193,213,0
1564427097,4148,16964,-1428,-884,806,-2161,0
1564427097,2100,14764,2724,901,-989,-40,0
1564427097,3696,16604,-1144,-39,-311,3505,0
1564427097,3240,15184,1388,877,1399,-399,0
1564427097,-2180,9552,-3012,2703,7284,173,0
1564427097,2316,15308,496,1608,-58,125,0
1564427097,-7456,12856,8140,4539,-288,1697,0
1564427097,4032,15816,-1068,-808,2219,-1081,0
1564427097,-9120,19728,2476,1579,-1018,1452,0
1564427097,4396,15284,-1692,-918,1070,46,0
1564427097,4340,14032,3108,540,705,355,0
1564427097,3608,15572,352,1855,880,-1475,0
1564427097,1548,17328,-2012,1524,-464,463,0
1564427097,1264,15084,1520,-1686,225,111,0
1564427098,5320,15360,-876,1320,117,-366,0
1564427098,1952,15724,676,2012,-1113,-1492,0
1564427098,5780,16560,-1444,1415,-335,420,0
1564427098,2864,14988,72,1761,185,-1872,0
1564427098,1300,15420,72,2209,-71,715,1
1564427098,4568,16060,-3452,2127,-640,1167,0
1564427098,2580,15716,-1664,118,776,736,0
1564427098,4004,15172,-1116,1297,364,197,0
